aX,aY,aZ,gX,gY,gZ
0.293,0.516,-0.028,-0.13,0.213,-0.006
,,,,,
-3.637,0.988,-0.584,0.011,2.57,0.251
-3.825,1.009,-0.645,-0.01,2.515,0.23
-4.146,1.11,-0.646,-0.066,2.37,0.179
-4.092,1.061,-1.073,-0.249,1.914,0.11
-4.438,0.98,-1.775,-0.095,2.616,0.277
-6.372,1.348,-2.067,-0.261,1.861,0.115
-6.074,1.215,-2.612,-0.275,1.869,0.044
-6.407,1.105,-3.279,-0.203,1.847,0.135
-6.468,0.796,-3.942,-0.017,1.947,0.311
-6.595,0.978,-4.603,0.197,2.361,0.509
-8.106,1.686,-5.155,0.344,2.503,0.701
-8.684,2.024,-6.108,0.278,1.773,0.501
-8.581,2.62,-5.953,0.285,1.361,0.459
-9.501,2.613,-6.337,0.061,0.809,0.351
-8.874,2.549,-6.776,0.022,0.391,0.123
-9.039,2.992,-6.306,0.014,0.81,0.348
-10.081,2.781,-6.802,-0.223,0.483,0.305
-9.562,2.983,-7.043,-0.189,-0.057,-0.03
-8.827,2.903,-6.974,-0.244,-0.133,-0.094
-8.934,2.699,-6.943,-0.179,-0.041,-0.01
-8.839,2.968,-6.801,-0.194,-0.012,-0.059
-8.795,2.622,-6.835,-0.165,0.091,-0.007
-8.783,2.74,-6.748,-0.177,0.034,-0.027
-8.85,2.873,-6.643,-0.186,0.009,-0.051
-8.875,2.805,-6.639,-0.216,0.001,-0.054
-8.702,2.781,-6.749,-0.172,-0.009,-0.036
-8.242,2.594,-6.62,-0.064,0.116,0.036
-9.074,2.758,-6.248,-0.123,0.212,0.085
-8.862,2.756,-6.501,-0.186,0.043,-0.042
-8.693,2.752,-6.492,-0.143,0.116,-0.011
-8.975,2.804,-6.385,-0.159,0.079,0.02
-8.982,2.881,-6.213,-0.205,-0.08,0.013
-9.06,3.042,-6.001,-0.366,-0.325,-0.051
-9.345,2.732,-5.72,-0.543,-0.887,-0.111
-9.058,2.755,-5.054,-0.747,-1.59,-0.288
-8.317,2.495,-4.538,-0.816,-1.299,-0.485
-7.562,1.858,-4.342,-0.827,-1.5,-0.448
-7.033,1.39,-4.124,-0.519,-0.955,-0.326
-6.907,1.709,-3.585,-0.295,-0.879,-0.202
-6.782,1.525,-3.112,-0.321,-0.949,-0.206
-6.567,1.355,-2.917,-0.343,-1.167,-0.323
-6.227,1.346,-2.295,-0.446,-2.085,-0.395
-4.458,0.85,-1.927,-0.312,-1.93,-0.358
-5.361,1.002,-1.786,-0.419,-3.411,-0.708
-0.85,0.409,-1.245,-0.078,-2.789,-0.45
-2.35,1.02,-0.366,-0.38,-2.714,-0.47
1.544,0.47,-1.115,-0.006,-2.297,-0.191
1.167,1.053,0.134,0.054,-0.754,0.023
0.261,0.781,0.086,-0.017,-0.372,0.031
0.834,0.779,0.809,0.093,0.007,0.033
0.557,0.801,0.684,-0.149,0.203,-0.006
0.848,0.815,0.691,-0.119,0.278,-0.021
0.411,0.995,0.657,-0.253,0.224,-0.036
0.752,0.651,-0.062,-0.238,0.215,-0.063
0.46,0.782,0.162,-0.179,0.347,-0.036
0.583,0.81,0.166,-0.29,0.131,-0.096
1.002,0.745,-0.048,-0.268,0.34,-0.064
0.441,0.691,-0.22,-0.181,0.196,-0.005
0.759,0.545,-0.081,-0.101,0.284,0.035
0.372,0.851,0.29,-0.189,0.148,-0.001
0.134,0.691,-0.138,-0.181,0.187,-0.049
0.12,0.497,-0.008,-0.157,0.344,0.029
0.552,0.578,-0.037,-0.123,0.283,0.003
-0.148,0.803,0.187,-0.014,0.467,-0.009
-0.172,0.907,0.445,-0.141,0.157,-0.053
0.243,0.696,0.072,-0.187,0.207,-0.045
-0.103,0.869,0.049,-0.164,0.084,-0.027
0.341,0.769,0.136,-0.113,0.156,-0.021
-0.043,0.887,0.265,-0.218,0.118,-0.021
0.328,0.664,-0.08,-0.215,0.104,-0.017
-0.115,0.761,0.168,-0.12,0.199,0.025
0.113,0.764,0.105,-0.189,0.041,0.005
0.261,0.651,0.075,-0.121,0.251,0.024
-0.135,0.834,0.166,-0.167,0.091,0.021
0.207,0.691,0.035,-0.136,0.236,0.025
-0.25,0.785,0.281,-0.133,0.199,0.011
0.198,0.767,0.226,-0.172,0.106,-0.012
-0.257,0.888,0.208,-0.154,0.204,0.008
0.154,0.757,0.127,-0.189,0.097,-0.05
0.189,0.668,-0.023,-0.098,0.293,0.013
-0.321,0.994,0.269,-0.185,0.063,-0.013
0.345,0.654,-0.103,-0.187,0.135,-0.014
-0.193,0.844,0.168,-0.056,0.231,0.014
0.11,0.742,0.219,-0.16,0.152,-0.004
0.071,0.76,0.031,-0.122,0.191,-0.006
-0.294,0.946,0.312,-0.167,0.146,0.006
0.012,0.742,0.062,-0.177,0.153,-0.027
-0.206,0.871,0.261,-0.14,0.282,-0.026
-0.156,0.8,0.138,-0.212,0.123,-0.031
0.074,0.651,-0.205,-0.124,0.209,-0.003
-0.317,0.974,0.287,-0.13,0.149,-0.004
-0.183,0.794,0.02,-0.171,0.161,-0.01
-0.285,0.945,0.213,-0.126,0.183,-0.013
0.006,0.828,0.066,-0.181,0.15,0.002
-0.196,0.785,-0.04,-0.103,0.172,0.011
-0.103,0.856,0.347,-0.13,0.166,0.003
-0.235,0.844,0.235,-0.165,0.153,0.011
-0.248,0.802,0.119,-0.173,0.131,-0.001
-0.086,0.863,0.147,-0.175,0.176,0.007
-0.42,0.88,0.062,-0.148,0.115,0.002
-0.12,0.922,0.18,-0.175,0.11,-0.02
-0.336,0.862,-0.025,-0.146,0.196,-0.011
-0.134,0.848,0.232,-0.178,0.072,-0.029
-0.17,0.783,0.132,-0.129,0.225,-0.011
-0.274,0.959,0.187,-0.2,0.058,-0.028
-0.092,0.803,-0.097,-0.162,0.179,-0.012
-0.409,0.977,0.229,-0.16,0.087,-0.027
0.071,0.674,0.018,-0.197,0.077,-0.025
-0.278,0.964,0.214,-0.108,0.187,0.011
-0.148,0.821,0.207,-0.187,0.082,-0.026
-0.268,0.935,0.242,-0.155,0.18,-0.014
-0.181,0.845,0.163,-0.195,0.106,-0.034
-0.147,0.804,0.115,-0.123,0.204,-0.014
