aX,aY,aZ,gX,gY,gZ
-0.916,0.621,-0.164,-0.015,0.072,-0.023
-0.986,0.675,0.04,-0.095,-0.027,-0.019
-0.834,0.527,0.041,0.002,0.06,-0.002
-1.027,0.684,-0.244,-0.046,0.028,-0.025
,,,,,
1.692,-3.219,0.393,-1.646,-0.334,-0.223
1.871,-3.074,0.508,-1.656,-0.225,-0.205
1.827,-2.717,0.494,-1.697,0.07,-0.114
0.728,-2.874,0.211,-1.848,0.05,-0.008
0.639,-3.697,-1.68,-2.045,-0.022,-0.058
0.876,-5.112,-3.509,-1.316,-0.108,-0.156
1.067,-4.755,-2.931,-0.861,-0.104,-0.056
0.937,-5.309,-2.704,-0.798,0.132,0.01
0.913,-6.021,-2.849,-0.652,0.041,0.017
0.808,-5.72,-2.405,-0.624,0.272,0.089
0.178,-6.448,-2.796,-0.674,0.341,0.025
0.35,-6.17,-2.823,-0.517,0.104,-0.161
0.889,-6.746,-3.352,-0.488,0.072,-0.109
1.027,-7.19,-3.673,-0.162,-0.02,-0.139
1.172,-6.528,-3.26,-0.064,0.147,0.044
0.608,-6.99,-3.122,-0.124,0.079,0.048
0.6,-6.649,-3.227,0.053,0.018,-0.023
0.8,-6.511,-2.866,0.036,0.022,0.018
0.802,-6.791,-2.905,-0.046,0.11,0.04
0.529,-6.491,-2.913,0.088,0.066,0.002
1,-6.516,-2.831,-0.081,0.02,0.05
0.521,-6.917,-3.179,-0.013,0.117,0.042
0.875,-6.408,-2.696,0.072,-0.056,0.04
0.423,-6.722,-2.771,-0.018,0.137,0.06
0.496,-6.351,-2.86,0.126,0.054,0.034
0.448,-6.427,-2.508,-0.107,0.109,0.066
0.259,-6.766,-3.01,0.019,0.026,-0.018
0.408,-6.323,-2.64,0.009,0.104,0.021
0.377,-6.703,-2.956,-0.01,0.032,-0.047
0.672,-6.33,-2.672,0.18,0.088,0.017
0.219,-6.53,-2.46,-0.004,0.078,0.048
0.548,-6.574,-2.861,0.071,0.063,-0.016
0.242,-6.292,-2.656,0.16,0.089,0.067
0.286,-6.284,-2.834,0.238,0.097,0.034
0.306,-6.104,-2.734,0.303,0.091,0.097
0.371,-5.808,-2.631,0.373,0.06,0.124
0.272,-6.108,-3.021,0.496,0.22,0.155
0.146,-5.483,-2.602,0.715,0.111,0.135
0.123,-5.446,-2.381,0.6,0.102,0.16
0.113,-4.993,-2.053,0.782,0.21,0.163
-0.115,-4.916,-1.806,0.675,0.135,0.171
-0.043,-4.731,-1.927,0.79,0.073,0.108
-0.168,-4.09,-1.349,0.941,0.078,0.127
-0.287,-3.806,-0.815,0.932,0.207,0.063
-0.612,-3.172,-0.584,0.93,0.187,0.079
-0.866,-2.759,0.178,0.646,0.381,0.079
-1.92,-2.313,0.405,0.275,0.212,-0.14
-0.724,-3.524,-1.165,0.381,-0.209,-0.171
-0.138,-2.866,-0.939,0.917,0.35,0.108
-1.203,-2.807,-0.68,0.933,0.204,0.215
-1.263,-1.36,0.357,1.039,-0.223,0.017
0.535,-0.757,1.775,0.452,0.094,0.203
-3.012,-0.721,2.201,0.029,0.601,0.013
-1.131,-1.583,-0.491,-0.035,-0.258,-0.212
-0.102,-1.689,-0.96,0.323,0.224,0.005
-0.769,-0.968,-0.899,0.444,0.298,0.07
-2.96,-0.581,2.063,-0.346,0.04,-0.029
-0.801,-1.149,-0.239,0.031,0.207,-0.009
-0.973,-1.043,-0.163,-0.018,-0.173,-0.019
-0.821,-1.366,0.296,-0.031,-0.131,-0.03
-1.198,-0.457,-0.609,0.108,0.069,-0.064
-0.693,-1.281,0.026,-0.161,0.047,-0.027
-1.276,-0.784,-0.209,-0.03,-0.001,-0.001
-1.083,-0.813,-0.527,-0.253,-0.025,0.015
-0.936,-1.508,0.186,-0.135,0.072,0.034
-1.276,-1.094,-0.266,0.01,-0.034,0.009
-0.798,-1.199,-0.036,-0.143,-0.026,0.005
-0.939,-1.173,-0.183,0.02,0.05,-0.023
-1.125,-1.028,-0.153,-0.094,0.005,-0.018
-0.976,-1.147,-0.201,-0.012,0.068,-0.019
-1.244,-1.126,-0.054,-0.06,0.002,0.003
-0.871,-1.149,-0.254,-0.031,-0.002,0.014
-1.125,-1.111,-0.119,-0.038,0,0.014
-0.788,-1.166,-0.291,-0.02,0.034,0.01
-1.194,-1.142,-0.136,-0.031,0.038,0.003
-0.958,-1.213,-0.122,-0.001,0.042,0.029
-0.986,-1.033,-0.186,-0.014,0.034,-0.004
-1.064,-1.024,-0.206,-0.057,0.124,-0.014
-1.262,-1.118,-0.111,-0.011,0.062,-0.019
-1.043,-1.052,-0.187,-0.031,0.019,-0.015
-1.182,-1.043,-0.212,0.012,0.031,-0.004
-1.116,-0.927,-0.153,-0.081,0.001,-0.011
-1.167,-1.086,-0.129,0.047,0.064,-0.002
-1.332,-0.81,-0.256,-0.032,0.016,-0.02
-1.004,-1.18,-0.022,-0.085,0.015,0.001
-1.07,-0.968,-0.268,0.033,0.05,-0.019
-1.146,-0.903,-0.145,-0.115,-0.023,-0.021
-1.067,-1.043,-0.102,0.003,0.077,-0.025
-1.02,-0.922,-0.286,-0.025,0.115,-0.036
-1.367,-0.978,-0.077,0.006,0.072,-0.028
-1.28,-0.905,-0.174,0.004,0.013,-0.02
-1.225,-0.888,-0.177,-0.082,-0.007,-0.008
-1.1,-0.971,-0.192,-0.01,0.014,-0.016
-1.234,-0.77,-0.08,-0.107,-0.06,-0.034
-1.094,-1.034,-0.115,-0.045,-0.01,-0.02
-1.177,-0.871,-0.085,-0.055,-0.034,-0.02
-1.113,-0.988,-0.117,-0.021,0.027,-0.01
-1.198,-0.814,-0.165,-0.023,0.009,-0.021
-1.03,-1.08,-0.014,-0.039,-0.005,-0.006
-1.085,-0.84,-0.265,0.023,0.03,-0.015
-1.069,-0.923,-0.029,-0.094,-0.033,-0.002
-1.045,-0.921,-0.196,0.025,0.038,-0.013
-1.143,-0.754,-0.117,-0.072,-0.001,-0.018
-1.065,-0.907,-0.062,-0.016,0.043,-0.008
-1.105,-0.761,-0.214,-0.045,0.002,-0.027
-1.14,-0.964,0.01,-0.068,0.027,-0.007
-1.092,-0.818,-0.248,0.008,0.049,-0.017
-1.05,-0.852,-0.057,-0.092,0.011,-0.005
-1.115,-0.855,-0.141,0.014,0.05,-0.013
-1.142,-0.741,-0.122,-0.093,-0.033,-0.014
-1.083,-0.946,-0.086,-0.002,0.042,-0.008
-1.13,-0.699,-0.241,-0.041,0.01,-0.021
-1.094,-0.927,-0.043,-0.088,0.005,-0.004
-1.071,-0.822,-0.215,0.024,0.052,-0.011
-1.043,-0.731,-0.103,-0.114,-0.01,-0.019
-1.106,-0.887,-0.117,0.005,0.067,-0.014
-1.035,-0.723,-0.168,-0.045,0.056,-0.029
-1.174,-0.866,-0.065,-0.041,0.037,-0.015
-1.056,-0.775,-0.165,-0.043,0.029,-0.018
,,,,,
0.472,-3.438,-1.498,-1.935,0.006,-0.066
0.517,-3.614,-1.614,-1.922,0.04,-0.059
0.597,-3.979,-1.888,-1.874,0.16,-0.033
0.566,-5.031,-2.284,-1.659,0.207,0.029
0.614,-5.898,-3.217,-1.188,0.091,0.043
0.558,-5.816,-3.27,-0.406,0.106,0.18
-0.448,-5.108,-1.859,-0.509,0.223,0.062
0.006,-6.092,-3.041,-0.678,-0.256,-0.254
1.098,-5.669,-2.841,-0.511,-0.187,-0.234
0.943,-6.645,-3.245,-0.623,-0.088,-0.252
1.533,-6.287,-3.273,-0.176,-0.068,-0.072
0.955,-6.728,-2.799,-0.541,0.183,0.117
0.415,-7.412,-3.607,-0.123,0.098,0.072
0.487,-5.839,-1.905,-0.208,0.095,0.082
0.077,-7.189,-3.201,-0.412,0.156,0.006
0.196,-6.825,-3.162,-0.095,0.034,0.014
0.494,-6.748,-2.963,-0.207,0.166,0.048
0.107,-7.235,-3.286,-0.122,0.251,0.03
0.262,-6.642,-3.057,-0.043,0.092,-0.016
0.226,-6.989,-3.355,-0.092,0.158,0.004
